,Hotel,Link_hotel
34,The Standard ,http://www.shangri-la.com/singapore/shangrila
35,The Oberoi Amarvilas,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=302143&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256045437&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkQKMie6p2NgpzuI5Mft8Hh5T0QqwZ45w2X69VvjFijrioQE-TgalSunJaxe6XGWTQQ&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=2&cs=1b5f2de1ef6fe263f384d2a7c705a62f3&ba_uid=5f5a7ba4-25df-4d12-9ff1-acc82ff6e393
36,Hotel Santa Caterina,http://www.theroyalportfolio.com/the-silo-hotel/overview/
37,Raffles Grand Hotel d'Angkor,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=301599&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256045543&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkXL7BwaA1kxHssZnF3EFUgXMZfHLCk0Gcvgxam5voHp4ZYvYpPBWdneqMdbf7K7-OA&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=15f96268a549ae898bb23899e0af3e627&ba_uid=5c321135-980f-4deb-9af3-542cc84a8bc5
38,Nihi Sumba,http://www.theshoreclubtc.com/
39,La Réserve Paris,https://www.tajhotels.com/en-in/taj/taj-holiday-village-goa/?utm_source=Google&utm_campaign=Taj-Holiday-Village-Goa&utm_medium=Local
40,Hotel de la Ville,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=17399393&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256045711&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdyat5b5SFBZE2X9_ZrRyK9hld9NjVfzwPuANrQJrVaMKg&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=1516de30d8d394e5a77a2df2ac2df5da3&ba_uid=c0cb37b4-b3df-464a-a721-55b9a222827d
41,Il San Pietro di Positano,https://www.saint-antoine.com/
42,Six Senses Yao Noi,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=648459&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256045819&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkZUgwPzmiM-CKozt0T4j5IxxHHVtqKIiPz8mC3E4gz11ZW7CGfY9HY84HAtwrPVrPA&adults=2&child_rm_ages=&inDay=1&outDay=2&rooms=1&inMonth=4&inYear=2023&outMonth=4&outYear=2023&def_d=true&bapid=1&cs=1627129ce360169aa010df0866115d1ca&ba_uid=183092af-0ae9-4f61-ad23-7e7a982ba9c9
43,Finca Cortesin Hotel Golf & Spa,
44,Secret Bay,https://aubergeresorts.com/bluesky/?utm_source=gmb&utm_medium=Yext
45,Cape Grace,
46,Taj Lake Palace,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=302377&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256046120&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkUGL77anJfJ4UWRPzk9NMVZV4JZr1ZzgPdYZakGyaijtw2XYHS5mVxzrppKb0IZ53Q&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=1b47e7ceb5e8960edd48a8d3bbbbe828a&ba_uid=1b84eab7-d183-44a8-aa7c-ed417fb4034b
47,Taj Falaknuma Palace,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=1676162&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256046168&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkQJwO9qXittalDBRLxTh6ttRj8dm2MZphWre0-PHjP7TNn9GuY0PhhpvMFLuw8q_uA&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=18f351a00982f9a196049923edb36b9ed&ba_uid=e23267a3-e41d-4592-84bd-192e6243c41b
