,Hotel,Link_hotel
156,The Oberoi Grand,https://www.oberoihotels.com/hotels-in-kolkata/?utm_source=GMBlisting&utm_medium=organic
157,Hôtel Plaza Athénée,https://www.dorchestercollection.com/en/paris/hotel-plaza-athenee/
158,Mahekal Beach Resort,https://www.mahekalbeachresort.com/
159,The Fullerton Hotel Singapore,https://www.fullertonhotels.com/fullerton-hotel-singapore
160,Casa Chameleon,https://www.casachameleonhotels.com/las-catalinas/
161,Hôtel Crillon Le Brave,http://www.crillonlebrave.com/
162,Six Senses Laamu,http://www.sixsenses.com/laamu
163,The Wickaninnish Inn,http://www.wickinn.com/
164,Penha Longa Resort,https://www.ritzcarlton.com/es?scid=e3f1277f-f1f4-40f7-a136-d5da3fe7e689&ppc=ppc&pId=uktbppc&gclid=EAIaIQobChMIr-KE25KS_QIV4RAGAB27UQKpEAAYASAAEgKSL_D_BwE&gclsrc=aw.ds
165,The St. Regis Bora Bora Resort,https://www.marriott.com/en-us/hotels/bobxr-the-st-regis-bora-bora-resort/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
166,Lion Sands Game Reserve,http://www.lionsands.com/
167,The Oyster Box,https://oysterboxhotel.com/?utm_source=google&utm_medium=local&utm_campaign=hotel-the-oyster-box-hotel
168,The Stafford,http://www.thestaffordlondon.com/
169,"Tambo del Inka, a Luxury Collection Resort & Spa",https://www.marriott.com/en-us/hotels/cuztl-tambo-del-inka-a-luxury-collection-resort-and-spa-valle-sagrado/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
170,Cap Maison,https://capmaison.com/
171,Tensing Pen,https://www.tensingpen.com/
172,Hôtel Le Toiny,http://www.letoiny.com/
173,Rosewood Mayakoba,https://www.rosewoodhotels.com/en/mayakoba-riviera-maya
174,Canaves Oia Boutique Hotel,https://canaves.com/canaves-oia-hotel/?gclid=EAIaIQobChMIkpb99pKS_QIVlojVCh1GqAB3EAAYASAAEgKngvD_BwE
175,Montage Los Cabos,https://www.montagehotels.com/loscabos/
176,Badrutt's Palace Hotel,http://www.badruttspalace.com/
